psraid,sample,file,iloc,int_date,fcall,attempt,refusal,lang,cregion,scregion,state,sstate,density,usr,susr,form,igender,irace,llitext0,llitext,cpitext,cpitext2,cpitext3,qs1,thought,campnii,reg,precinct,statereg,folgov,q5,q5a,Q5horse,q5b,q5c,q5d,q7,q8,swing,swingdet,q9f2,q9f2vb,q9f2_1,q9f2_2,q9f2_3,oftvote,where,planto1,planto2,q11,q15f2,q16f1,q17af1,q17bf1,q17cf1,q17df1,q17ef1,q17ff1,q17gf2,q17hf2,q17if2,q17jf2,q17kf2,q17lf2,q21a,q21b,q22a,q22b,q22cf1,q22df1,q22ef2,q22ff2,q22gf2,q22hf2,q23af2,q23bf2,q23cf2,q23df2,q23ef2,q23ff2,q23gf2,q23hf2,q24af1,q24bf1,q24cf1,q24df1,q24ef1,q24ff1,q24gf1,q24hf1,q25af1,q25bf1,q25cf1,q26af2,q26bf2,q26cf2,q26df2,q27af1,q27bf1,q27cf1,q28af2,q28bf2,q28cf2,q28df2,q29f2,q30f2,q32,q33f1,q34f2,q35f1,q36f1,q37f2,q37f2os,q38a,q38b,q39f1,q40f2,q41f1,q43f2,q44f2,q46,q49a,q49b,q49c,q49d,q49e,q49f,sex,age,educ2,hisp,birth_hisp,race3m1,race3m2,race3m3,race3m4,racecmb,racehisp,racethn,marital,parent,relig,chr,born,attend,income,party,partyln,ideo,teaparty2,pvote08a,pvote08b,first,scale10,employ2,labor2,hh1,hh3,ql1,ql1a,qc1,lc2,lc3,money2,phoneuse,lvs7,lvs7wt62,unlvs7wt62,coweight,llweight,weight
50013,1,2,2,91612,120912,6,0,1,3,3,13,13,3,S,S,1,1,1,1,1, , , , ,1,2,1,1, ,1,2, ,1,2, ,1,2, ,1,1, ,, , , ,1,1,1,1,1, ,2,2,1,2,2,2,1, , , , , , ,2,3,2,3,2,3, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,1,1,2, , , , ,1,2,1, , , , , , ,3,1, ,2,2, ,,2,3,2, ,3, , , ,3,2,3,3,2,2,2,65,8,2, ,1, , , ,1,0,1,1,2,1, ,2,2,7,3,2,3,2,1,1, ,10,3,2,2,2,1, , , ,2, ,2,7,1.0769230769230769,0,1.625,2.066666666666667,1.0769230769230769
50015,1,2,2,91412,120912,2,0,1,3,3,47,47,2,R,R,1,1,1,2,1, , , , ,3,2,3, , , , , , , , , , , , , , ,, , , , , , , , , ,2, , , , , , , , , , , , ,1,2,8,3,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2, ,3,3, ,,3,3,1, ,3, , ,2,3,4,3,4,1,3,1,46,3,2, ,1, , , ,1,0,1,1,2,1, ,1,1,1,2, ,1,3,2, , , ,6,2,2,2,1, , , ,3, ,2,0,0,3.1538461538461537,5.041666666666667,8.4,3.1538461538461537
50039,1,2,2,91412,120912,2,0,1,3,3,24,24,4,S,S,2,2,1,1,2, , , , ,1,1,1,1,24,1,2, ,1,2, ,2,2, ,1,1,1,MORE QUALIFIED WITH SEXPERIENCE AND ROMNEY SAID THINGS THAT WOULD KILL HIS CHANCES,28,32, ,1,1,1,1,1,1, , , , , , , ,1,1,2,1,1,2,2,3,2,4, , ,1,2,2,3,2,2,1,2,2,2,2,3, , , , , , , , , , , ,1,1,2,2, , , ,2,2,2,1,1,1,2, ,3, , ,4,,2,3, ,1, ,2,2, ,2,9,2,2,2,2,2,77,5,2, ,1, , , ,1,0,1,5,2,1, ,1,3,6,2, ,3,2,1,1, ,10,3,2,1, ,1, , ,2, , ,2,7,1.0384615384615385,0,1,1.4,1.0384615384615385
50040,1,2,2,91512,120912,2,1,1,3,3,37,37,3,U,U,2,1,3,1,1, , , , ,3,3,3, , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,8,8,4,8, , ,8,8,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,3, , ,2,,4,3, ,1, ,1,1, ,2,1,2,3,2,9,2,36,6,2, ,1, , , ,1,0,1,1,1,13,1,1,2,6,3,1,2,1,1,2, , ,1,2,6,2,1, , , ,2, ,2,0,0,3.3076923076923075,4.416666666666667,10.333333333333334,3.3076923076923075
50044,1,2,2,91412,120912,3,0,1,3,3,45,45,2,U,U,2,1,1,2,1, , , , ,2,2,2, , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,2,3,2,4, , ,2,4,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,3, , ,2,,9,9, ,1, ,9,2, ,2,1,3,2,1,2,2,61,1,2, ,1, , , ,1,0,1,3,2,1, ,1,1,1,3,2,2,3,2, , , ,4,2,2,2,2,2, , , , ,1,0,0,7.3076923076923075,6.75,9.466666666666667,7.3076923076923075
50048,1,2,2,91612,120912,7,1,1,1,1,36,36,2,S,S,2,1,2,2,1, , , , ,1,2,1,1,36,1,1, ,2,1,2, , ,2,2,2,1,HE WOULD BE BETTER FOR THE ECONOMY AND SOCIAL ISSUES,2, , ,2,1,1,1,1,9, , , , , , , ,1,1,3,3,1,2,4,2,3,2, , ,2,2,3,2,1,1,1,1,2,1,1,3, , , , , , , , , , , ,2,2,1,1, , , ,1,9,2,2,1,2,4, ,3, , ,4,,4,1, ,1, ,2,1, ,3,1,1,1,2,2,1,49,5,2, ,1, , , ,1,0,1,6,2,1,1,1,2,3,1, ,2,1,1,2, ,10,1,2,1, ,1, , ,3, , ,2,7,2.269230769230769,0,3.375,6,2.269230769230769
50053,1,2,2,91412,120912,3,0,1,3,3,21,21,3,S,S,1,2,1,1,2, , , , ,3,2,3, , , , , , , , , , , , , , ,, , , , , , , , , ,2, , , , , , , , , , , , ,2,2,2,4,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3, ,4,2, ,,2,4,1, ,3, , , ,2,1,2,1,2,1,1,69,4,2, ,1, , , ,1,0,1,5,2,1, ,2,4,3,1, ,3,3,2, , , ,3,2,2,2,1, , , ,2, ,2,0,0,1.6153846153846154,2.0833333333333335,3.066666666666667,1.6153846153846154
50058,1,2,2,91512,120912,5,0,1,1,1,25,25,3,S,S,2,1,3,1,2, , , , ,1,1,1,1,25,2,2, ,1,1, ,1,2, ,1,1,1,HE TRUTHFUL AND HELPING THE ECONOMY,24,2, ,1,1,1,1,1,1, , , , , , , ,1,1,1,2,1,2,2,4,1,4, , ,8,8,1,2,2,2,2,2,2,2,2,2, , , , , , , , , , , ,1,2,2,9, , , ,2,9,1,1,3,9,3, ,1, , ,4,,1,4, ,9, ,2,2, ,9,1,3,1,1,4,1,70,3,2, ,1,2, , ,4,0,4,1,2,12, , ,6,6,3,2,2,2,1,2, ,10,3,2,2,2,1, , , ,2, ,2,7,2.6923076923076925,0,4.208333333333333,5.4,2.6923076923076925
50060,1,2,2,91412,120912,5,0,1,1,1,36,36,2,S,S,2,1,1,1,1, , , , ,1,1,3, , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,4,2,4,1, , ,9,2,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,9, , ,4,,4,1, ,1, ,9,1, ,1,1,1,1,2,1,1,42,5,2, ,1, , , ,1,0,1,3,1,1, ,1,2,5,1, ,3,3,1,3, , ,1,2,3,1,1, , , ,1, ,3,0,0,5.038461538461538,8.166666666666666,6,5.038461538461538
50068,1,2,2,91412,120912,7,0,1,3,3,45,45,1,R,R,2,2,1,2,2, , , , ,1,1,1,1,45,1,2, ,1,1, ,1,1, ,3,4,1,I THINK HE HAS A BETTER PROGRAM THAN ROMNEY.,16, , ,1,1,1,1,1,1, , , , , , , ,1,1,1,1,1,1,1,4,1,4, , ,1,4,1,2,2,2,2,2,2,2,2,2, , , , , , , , , , , ,1,1,2,2, , , ,2,2,1,1,3,2,3, ,2, , ,4,,4,1, ,2, ,1,2,2,2,2,2,3,1,3,1,60,3,2, ,2, , , ,2,0,2,3,2,1, ,1,3,3,2, ,2,2,1,1, ,10,3,2,1, ,2, , , , , ,1,7,1.7307692307692308,0,1.9166666666666667,3.6,1.7307692307692308
