psraid,Vote/lean, Jobs Imp.,Health Care Imp.,Abortion Imp.,Foreign Policy Imp.,Taxes Imp.,Budget deficit Imp.,Jobs,Health Care,Abortion,Foreign Policy,Taxes,Federal Budget Deficit
50115,1,3,3,2,3,3,3,2,2,2,2,2,2
50143,1,3,3,0,3,3,0,2,2,2,2,2,2
50159,1,3,3,3,3,3,3,2,2,2,2,2,2
50174,1,3,3,3,0,3,2,2,2,2,2,2,2
50175,1,3,3,3,3,2,3,2,2,2,2,2,2
50187,1,3,3,0,3,3,3,2,2,2,2,2,2
50314,1,3,2,2,2,2,3,1,2,2,2,2,1
50353,1,3,3,3,3,2,3,3,2,2,2,2,2
50365,1,3,3,3,3,3,2,2,2,2,2,2,2
50391,1,3,2,2,3,2,1,2,2,2,2,2,2
50407,1,3,3,1,3,3,2,2,2,2,2,2,2
50410,1,3,3,3,2,3,3,2,2,1,2,2,1
50438,1,3,2,3,2,3,3,2,2,2,2,2,2
50458,1,3,3,2,3,3,3,2,2,2,2,2,2
50464,1,3,3,3,3,3,3,2,2,2,2,2,2
50475,1,3,3,0,3,3,3,2,2,9,2,2,2
50483,1,3,3,3,3,3,3,2,2,2,2,2,2
50492,1,3,3,0,3,3,3,2,2,2,2,2,2
50497,1,3,3,3,2,2,2,2,2,2,2,2,2
50500,1,3,2,0,2,2,2,2,2,2,2,2,2
50531,1,3,3,0,2,2,2,2,2,2,2,2,2
50553,1,3,3,2,3,3,3,2,2,2,2,2,2
50570,1,3,2,2,3,1,2,2,2,2,2,2,3
50614,1,3,3,3,3,3,3,9,2,2,2,2,9
50686,1,3,3,3,3,3,3,2,2,9,2,2,2
50711,1,3,3,0,3,3,3,2,2,2,2,2,2
50730,1,3,3,3,3,3,2,2,2,2,2,2,2
50733,1,3,3,3,3,3,3,2,2,2,2,2,2
50771,1,3,3,3,3,3,2,2,2,2,2,2,2
50806,1,3,3,3,3,3,2,2,2,2,2,2,2
50818,1,3,3,2,3,3,3,2,2,2,2,2,2
50822,1,3,3,3,3,3,3,2,2,2,2,2,2
